s,h,a,p
0,[0.0028216]
1,[0.]
2,[-0.00360312]
3,[-0.00186146]
4,[0.]
5,[0.00712042]
6,[0.]
7,[-0.00518042]
8,[0.]
9,[-0.00162279]
10,[-0.00108463]
11,[-0.00128214]
12,[0.00305622]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[-0.00263801]
18,[-0.00512154]
19,[0.]
20,[-0.00460804]
21,[0.00528042]
22,[0.]
23,[0.00342005]
24,[-0.00191555]
25,[0.]
26,[0.00666366]
27,[-0.00195454]
28,[0.01580318]
29,[0.]
30,[0.02235712]
31,[-0.0051002]
32,[0.03251223]
33,[-0.00789534]
34,[0.03531753]
35,[-0.00518005]
36,[0.02504385]
37,[-0.00415516]
38,[0.01816451]
39,[-0.01139094]
40,[0.00505008]
41,[-0.01216454]
42,[-0.03902824]
43,[-0.02229498]
44,[-0.16898323]
45,[-0.03487942]
46,[-0.46568206]
47,[-0.05323442]
48,[-0.88338426]
49,[-0.07413329]
50,[-1.32193498]
51,[-0.09854634]
52,[-1.38378157]
53,[-0.11847898]
54,[-0.81272499]
55,[-0.12456312]
56,[0.23417107]
57,[-0.10659836]
58,[0.84885747]
59,[-0.01089663]
